cv_mae,test_mae,test_rmse,test_r2,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma
3315437.4562922814,3076895.0694554974,4299424.434331698,0.4116386565322221,2500,0.01,4,7,0.7,0.8,1.5,0.5,0.0
3184921.9519870183,3077151.344921466,4114344.7929000817,0.46120338551633167,1500,0.01,5,3,0.7,0.7,0.5,0.0,0.5
3242750.037716842,3079504.837769633,4171386.2360573374,0.4461600262935125,500,0.05,5,7,0.8,0.9,0.5,0.0,0.3
3319818.420457193,3079606.92565445,4267584.709517389,0.42032070140932287,1500,0.02,4,7,0.8,0.85,1.0,0.1,0.1
3132082.6230922807,3079608.1825863873,4207142.254875703,0.43662459374591955,1000,0.01,5,7,0.85,0.8,2.0,1.0,0.1
3175105.7106045615,3080169.8548272247,4265057.346598022,0.42100709722465324,3000,0.05,4,7,0.9,0.9,0.5,1.0,0.1
3312723.1558677196,3081173.946544502,4251150.811625722,0.4247766401299504,2000,0.01,4,7,0.85,0.85,1.0,0.0,0.1
3138421.3140361407,3081651.6368167535,4178342.934441224,0.4443111874632899,2500,0.005,4,10,0.85,0.8,2.0,0.1,0.5
3139660.434001053,3082450.431842932,4148953.6106714965,0.4521008225717589,500,0.01,4,5,0.7,0.85,0.5,1.0,0.3
3232149.1792992987,3084436.2061884813,4276731.551752008,0.41783315040711233,2500,0.03,6,7,0.9,0.85,1.5,0.1,0.1
3135430.2526115794,3086705.908052356,4208040.851643679,0.4363839071454573,2000,0.01,5,3,0.8,0.9,2.0,1.0,0.1
3159622.5498782457,3089176.606303665,4193696.016374115,0.4402199913492977,3000,0.005,4,10,0.9,0.8,0.5,0.1,0.5
3135982.650787018,3090453.937277486,4202108.473820925,0.437971927263348,1500,0.05,5,3,0.85,0.9,2.0,1.0,0.3
3208381.5004747375,3090873.4771727743,4185053.0486601046,0.4425249628764274,500,0.02,3,7,0.9,0.8,0.5,0.5,0.1
3115965.170506316,3091311.4178952877,4179090.406021704,0.4441123532584935,2000,0.03,6,10,0.8,0.7,2.0,0.5,0.5
3166851.3725378956,3092255.2252460723,4222493.726967317,0.4325056834037161,500,0.02,4,10,0.8,0.85,1.5,1.0,0.0
3390289.01052386,3092285.1667434545,4291590.048733349,0.413780920014412,2000,0.01,4,7,0.85,0.85,1.5,0.1,0.0
3157965.8784536845,3093286.6762931934,4191101.363782702,0.4409124522866238,2500,0.005,5,10,0.8,0.85,1.5,0.5,0.5
3154925.5056817546,3093411.6619685865,4205487.31935504,0.4370677290328471,2500,0.005,5,10,0.85,0.85,0.5,0.5,0.3
3188607.4359799996,3093506.7072565444,4256043.303792714,0.4234518716942288,1500,0.02,3,10,0.85,0.9,1.5,1.0,0.1
3183752.5080817547,3093573.9612774863,4249389.046033687,0.4252533104619102,2000,0.02,3,5,0.9,0.85,1.0,0.5,0.1
3302492.658344912,3094505.9361256543,4288295.908612309,0.4146805150999978,500,0.05,3,5,0.8,0.9,3.0,0.0,0.0
