cv_mae,test_mae,test_rmse,test_r2,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma
3138529.843846667,3013254.2485654447,4113638.30871621,0.46138840579262563,1500,0.02,4,5,0.8,0.85,2.0,1.0,0.3
3429724.3359203506,3013917.4602251304,4185707.013834323,0.4423507248250983,2000,0.01,4,7,0.85,0.85,1.5,0.1,0.0
3257923.746671228,3015239.336062827,4183145.80036438,0.44303296171272355,3000,0.05,3,7,0.7,0.8,0.5,1.0,0.3
3179634.10966772,3015381.4425759157,4086532.0882730475,0.46846322478954505,2000,0.005,6,5,0.7,0.85,3.0,0.1,0.3
3222690.8865975444,3016073.2230052347,4154099.8667889303,0.45074077931432965,2000,0.02,3,5,0.9,0.85,1.0,0.5,0.1
3311968.574499298,3016122.4196753926,4144907.5810099402,0.45316891617785093,2000,0.02,5,10,0.7,0.7,1.0,0.0,0.5
3215882.372927368,3016305.728104712,4129483.5085542332,0.4572310908226874,1500,0.01,6,10,0.7,0.7,3.0,0.0,0.5
3279494.452801053,3016431.0046073296,4153168.10279258,0.4509871492076023,1000,0.02,5,5,0.8,0.8,2.0,0.0,0.1
3152768.5412922814,3016539.557664922,4092670.492029801,0.46686517647217163,2000,0.01,4,3,0.8,0.8,1.0,0.5,0.5
3187856.026969474,3016857.950879581,4131886.7071014247,0.4565991662728539,1500,0.05,6,3,0.7,0.85,3.0,0.5,0.3
3209812.293362457,3016886.468104712,4108822.904118788,0.46264865985758075,500,0.05,3,7,0.7,0.7,1.0,1.0,0.3
3111973.6856010533,3017328.341581152,4119319.6370474626,0.45989963007797885,3000,0.05,6,7,0.8,0.8,3.0,1.0,0.5
3149584.5924431584,3017576.7780837696,4079102.7491348027,0.47039414188981,500,0.02,3,3,0.9,0.7,1.5,0.5,0.0
3139110.064348422,3018407.387246073,4137737.8633115287,0.45505905898218046,3000,0.05,3,3,0.9,0.7,1.0,1.0,0.1
3158807.1852045613,3018590.1206596857,4090091.3154601725,0.46753692152185333,1500,0.05,3,3,0.85,0.9,2.0,0.5,0.3
3155470.15783965,3018905.896010471,4116531.61249989,0.4606304806272752,500,0.02,4,7,0.7,0.85,3.0,0.5,0.5
3163511.5150677203,3019765.001078534,4094663.7347663753,0.46634574746331725,2500,0.005,3,7,0.8,0.7,2.0,0.5,0.3
3228364.912843158,3019863.041277487,4134355.3191536535,0.45594965835140633,2500,0.05,4,7,0.85,0.85,3.0,0.0,0.5
3201376.960688772,3020036.830921466,4083627.8907503686,0.469218456473543,2000,0.005,3,7,0.7,0.7,3.0,0.1,0.0
3112718.5879519302,3020407.46286911,4132007.0511449077,0.4565675119654944,3000,0.03,4,7,0.85,0.8,3.0,1.0,0.5
3236985.7228536843,3021122.338209424,4108598.942038725,0.4627072377261219,500,0.02,4,7,0.7,0.9,3.0,0.0,0.0
3255639.424783509,3021130.8435811508,4122626.0142081045,0.4590322576172454,3000,0.02,3,5,0.8,0.85,3.0,0.0,0.3
3142973.661053685,3021251.6838848167,4108132.59154371,0.4628292026727029,2000,0.03,5,3,0.7,0.85,1.5,1.0,0.5
3298228.341958948,3021832.561099476,4156092.2528523104,0.45021378242741916,1000,0.01,6,5,0.7,0.8,1.0,0.0,0.0
3206740.1711940356,3021965.7078848165,4088847.7661613594,0.4678606519121289,2000,0.005,3,7,0.8,0.8,1.5,0.5,0.0
3246846.562713334,3022047.8054031413,4101660.573376978,0.46452040447895704,1500,0.03,5,3,0.7,0.9,1.5,0.1,0.3
3232935.3908571936,3022397.507099476,4171542.394172263,0.4461185589154244,3000,0.03,5,7,0.9,0.9,3.0,0.1,0.3
3221899.2247449127,3022472.2658324605,4081294.80556765,0.46982478243369397,1500,0.01,3,5,0.8,0.9,1.0,0.0,0.5
3134040.9916712283,3023055.4566806275,4164245.159095295,0.448054661947374,1500,0.05,5,3,0.85,0.9,2.0,1.0,0.3
3209624.539506316,3023125.902586387,4148242.9229142466,0.4522885093596142,1000,0.02,3,3,0.8,0.9,3.0,0.5,0.1
3258486.3167028073,3023504.3533612564,4126344.1792644374,0.4580560282013847,2500,0.05,4,10,0.7,0.9,3.0,1.0,0.5
3267304.955572983,3023578.799706806,4094767.8276056186,0.46631861444532197,1500,0.005,4,7,0.8,0.85,1.0,0.1,0.1
3282016.837527368,3023728.882136125,4151700.9175603716,0.45137497905092006,2000,0.03,3,7,0.7,0.7,1.0,0.5,0.3
3257598.521822106,3023963.6997486916,4084954.4989179433,0.4688735408626842,2000,0.03,3,7,0.9,0.7,2.0,0.0,0.3
3242796.1482185964,3024031.7033403143,4140595.822731367,0.4543060112994697,1500,0.01,3,10,0.7,0.9,1.5,0.5,0.3
3234164.573727369,3024130.263329843,4173406.3223140487,0.4456234778374747,2500,0.005,6,10,0.85,0.9,0.5,0.0,0.3
3124138.036737895,3024489.041120419,4175991.482121625,0.4449364631229358,3000,0.05,3,3,0.85,0.8,3.0,1.0,0.3
3205980.046983509,3024553.8014869103,4141023.075049884,0.45419338931909026,1500,0.01,3,10,0.9,0.8,1.5,0.0,0.3
3234050.735369474,3024785.3251832454,4090771.8093842804,0.4673597283963353,2500,0.02,3,3,0.85,0.7,0.5,0.1,0.3
3155706.4331554384,3025564.030230366,4094359.287622022,0.46642510121922975,1500,0.005,3,5,0.7,0.9,2.0,0.5,0.1
3265873.932555439,3025647.8948062826,4150791.1733847223,0.45161538834031945,2500,0.05,5,7,0.7,0.85,1.0,0.5,0.5
3175562.8257975443,3025712.934534031,4098429.2525642635,0.465363782304252,2500,0.005,5,3,0.7,0.7,2.0,0.1,0.3
3181724.79889579,3026404.849246073,4094458.959607541,0.46639912249426774,2000,0.005,3,7,0.7,0.7,1.0,0.5,0.3
3155358.258660702,3026409.5436020945,4136501.982714278,0.45538454183217747,2500,0.02,4,10,0.85,0.85,1.5,0.5,0.5
3195595.1677800007,3026438.7154136123,4105407.508958569,0.46354161846914366,2000,0.03,5,5,0.8,0.9,1.0,0.1,0.5
3200139.2366326316,3026706.0887748688,4106141.1041213656,0.4633498818710142,2000,0.005,3,10,0.8,0.8,0.5,0.0,0.5
3291050.456288772,3026839.065633508,4113544.600938422,0.4614129444209272,2000,0.05,3,7,0.7,0.7,1.0,0.1,0.5
3207114.671057193,3027513.896010471,4117376.0720684035,0.4604091669038257,2000,0.005,6,7,0.7,0.7,3.0,0.0,0.3
3224780.4548431584,3027595.8568900526,4128663.824706174,0.4574465437973496,1500,0.03,3,3,0.7,0.8,1.5,0.0,0.3
3203635.9172010534,3027667.7328167534,4160119.911832577,0.4491476731002203,2000,0.01,3,7,0.7,0.7,2.0,1.0,0.1
3392296.439878246,3027811.178434555,4217455.789678549,0.43385905200506647,2000,0.03,5,7,0.85,0.8,0.5,0.0,0.1
3221664.103309825,3027964.898031413,4115687.1461366233,0.46085175073559437,500,0.02,3,7,0.9,0.8,0.5,0.5,0.1
3267209.3150326316,3028077.769193717,4117536.319592678,0.46036716453325155,2500,0.05,3,7,0.8,0.7,0.5,0.1,0.5
3132186.3231764915,3028105.4306282722,4085554.3436679523,0.4687175455830752,1000,0.01,4,3,0.8,0.85,0.5,0.5,0.3
3203579.3408080707,3028229.982366492,4117570.8516308204,0.4603581131499236,2500,0.02,4,5,0.9,0.85,2.0,0.0,0.3
3242628.6554291234,3028446.3378219893,4090894.2795851696,0.46732783537439415,1000,0.01,4,5,0.85,0.8,1.5,0.0,0.1
3183143.769362457,3028536.376952879,4088399.035936498,0.46797744467143465,500,0.03,6,5,0.7,0.8,3.0,0.0,0.5
3276196.2691940353,3028718.7054764396,4118071.1881179144,0.4602269586707266,3000,0.005,3,5,0.85,0.7,1.0,0.1,0.0
3282702.2436361406,3029413.9363769637,4123668.1931403163,0.4587587152473138,2500,0.005,3,10,0.8,0.85,1.0,0.1,0.0
3137973.784365965,3029440.3845863873,4137779.1268660426,0.455048190090486,1500,0.02,3,5,0.9,0.8,1.5,1.0,0.3
3185065.2035063165,3029520.899340314,4098598.545156974,0.4653196132749938,1000,0.01,3,7,0.8,0.7,2.0,0.5,0.1
